,game_id,event,player_name
179,36691f61-7595-4a9e-9dae-ad27c690f528,FIDE WCh KO,"Azmaiparashvili,Z"
180,367b70ea-1d2a-4d51-a656-f8dd54e17654,FIDE-Wch k.o. f,"Karpov, Anatoly"
181,37aa48e8-e73e-47ea-bc15-b490070a1937,World Championship 22th,"Smyslov, Vassily"
182,38416749-7291-4d15-87e6-a281376a219f,FIDE WCh KO,"Dreev,A"
183,3848a1f9-fa48-4afd-8c15-89b7e4a9da99,FIDE-Wch k.o.,"Akopian, Vladimir"
184,38a310d5-fbe5-485e-a78a-39f455edfa55,FIDE WCh KO,"Lautier,J"
185,38bba014-6d55-4494-a531-d78c317e1fb2,FIDE WCh KO,"Zvjaginsev,V"
186,39003f9f-b64e-4bfb-934e-f707d1dd2c2b,World Championship 33th-KK3,"Karpov, Anatoly"
187,39c104b1-ae14-480c-8ef2-eb4389a7c2fb,FIDE WCh KO,"Dreev,A"
188,3a97c7e3-56db-48ba-b9fa-af52b85237d9,FIDE WCh KO,"Svidler,P"
189,3a9ffed8-4422-487c-9506-05a02d53fd63,WCh,"Grischuk,A"
190,3aaa723d-9c98-470c-894e-3f33727d74c0,FIDE-Wch k.o.,"Adams, Michael"
191,3b0c8942-ddad-4c8f-92af-192d26f44e89,FIDE-Wch,"Karpov, Anatoly"
192,3b1a67dc-3e5d-48bf-9a81-47985680cdc3,World Championship 14th,"Alekhine, Alexander"
193,3b683515-0e68-466e-91a1-041fc7526e8f,World Championship 1st,"Steinitz, William"
194,3b6bb69a-9fee-4bb5-ba99-f8bb13172eb8,FIDE WCh KO,"Kasimdzhanov,R"
195,3be60496-41ab-4e86-9937-1ac33c6d8a98,FIDE-Wch k.o.,"Kindermann, Stefan"
196,3c003be1-5d1f-4151-b5d5-f5477fabd874,FIDE WCh KO,"Adianto,U"
197,3c5130bc-e9e5-40cc-9cba-5475f821b89b,FIDE WCh KO,"Gulko,B"
198,3c52af29-0082-45c2-bca6-51ef3484f98c,World Championship 22th,"Botvinnik, Mikhail"
199,3c60325c-2b5f-41f5-abd5-ee8fab7f4cda,FIDE WCh KO,"Tiviakov,S"
200,3d161f2f-a725-4938-99cc-e4829f192364,FIDE WCh KO,"Lputian,S"
201,3d26865b-62ba-4db6-9795-f55e3325336c,FIDE WCh KO,"Baklan,V"
202,3d2acd94-65de-4c3f-ae43-d1c1c99cbec1,FIDE WCh KO,"Anand,V"
203,3d34d86e-216e-41f2-b5e5-b7eb9b67516f,FIDE-Wch k.o. Sudden Death,"Tiviakov, Sergei"
204,3d613517-7752-49f0-acc8-9107c4e58b9f,World Championship 17th,"Euwe, Max"
205,3d913878-db54-4a50-aaf9-8437adafbaa5,FIDE-Wch k.o.,"Sadler, Matthew"
206,3da7e0b1-a196-4b20-b740-d26ec19c61a5,FIDE WCh KO,"Short,N"
